GID_2,exercise_year,exercise_label,phase_class,population,ndvi_mean_6m,rainfall_sum_6m,lst_mean_6m,nightlight_mean_6m,ndvi_mean_3m,rainfall_sum_3m,conflict_events_6m,conflict_fatalities_6m,state,lga
NGA.21.8_1,2025,Sep-Dec,3.0,215591.8911389669,0.345219420275539,690.6871628663013,31.0362599469392,0.3026133252575792,0.4949842736569449,614.6438994565075,0,0,Katsina,Danja
NGA.21.9_1,2025,Sep-Dec,3.0,194474.063311459,0.3779450220841827,706.2746598673563,32.98529676622181,0.3734711271246614,0.5033954985448158,668.6167769269326,0,0,Katsina,Danmusa
NGA.22.10_1,2025,Sep-Dec,2.0,333731.0,0.3699984899333237,672.9626204724261,34.20433675008372,0.3208843120380829,0.4798355999018391,593.0811849433395,0,0,Kebbi,Fakai
NGA.22.11_1,2025,Sep-Dec,2.0,352236.0,0.2972432608284654,493.6836826393613,34.49924984556799,0.3504450677866323,0.3846361643056622,463.1863302720719,0,0,Kebbi,Gwandu
NGA.22.12_1,2025,Sep-Dec,2.0,204691.0,0.3132639903219211,606.2087393516944,34.59353719732487,0.3307064117337082,0.3785020835712321,566.0755888875038,0,0,Kebbi,Jega
NGA.22.13_1,2025,Sep-Dec,2.0,418666.0,0.2917758151726862,586.7248577389573,34.97662043947514,0.3135960938720928,0.3678058218264111,550.1973591723347,0,0,Kebbi,Kalgo
NGA.22.14_1,2025,Sep-Dec,2.0,257184.0,0.3105158175487141,675.8396799808646,33.90850742361355,0.3241059084012028,0.3863781251401508,593.8337856056239,0,0,Kebbi,Koko/Besse
NGA.22.15_1,2025,Sep-Dec,2.0,261166.0,0.3034436756913929,631.0301241534971,34.865572117211215,0.3221686042427495,0.3655051708882569,585.2784416976414,0,0,Kebbi,Maiyama
NGA.22.16_1,2025,Sep-Dec,2.0,466612.0,0.2791194393508747,640.535094444061,32.13807959957479,0.3046695985867754,0.3753025575016688,506.6083815481043,0,0,Kebbi,Ngaski
NGA.22.17_1,2025,Sep-Dec,2.0,210678.0,0.314480083029538,653.8309259467904,33.961264019624444,0.2996106361042439,0.393233753375634,564.659976507288,0,0,Kebbi,Sakaba
NGA.22.18_1,2025,Sep-Dec,2.0,221814.0,0.3598508328371784,668.3892345409256,33.896574089046574,0.3146999826476875,0.4676175071484603,563.3658850147491,0,0,Kebbi,Shanga
NGA.22.19_1,2025,Sep-Dec,2.0,161350.0,0.3150273595045952,647.2601963915108,34.08029061391368,0.3119276978647092,0.3587077375539085,594.6294002233578,0,0,Kebbi,Suru
NGA.22.1_1,2025,Sep-Dec,2.0,117990.0,0.2913646962494222,551.4519766130227,34.13442980053341,0.4133507821762472,0.3727354103464932,517.3157802319406,0,0,Kebbi,Aleiro
NGA.22.20_1,2025,Sep-Dec,2.0,176892.0,0.3197565411307219,663.3715126134365,32.55873068158735,0.3115403762829048,0.3903240263849128,546.0483051258274,0,0,Kebbi,Yauri
NGA.22.21_1,2025,Sep-Dec,2.0,290826.0,0.3122571549228978,628.9413836305789,33.52039292032088,0.3332418051678763,0.3942787946013864,559.3120849022811,0,0,Kebbi,Zuru
NGA.22.2_1,2025,Sep-Dec,2.0,472503.0,0.2689254769639447,521.137167721033,34.45921875815136,0.3279624994186134,0.3324661123035799,493.4781539490864,2,12,Kebbi,Arewa Dandi
NGA.22.3_1,2025,Sep-Dec,2.0,217318.0,0.2991543815402611,510.5850301911376,34.123002388498456,0.3835382649184073,0.3777171865153382,483.094037583346,0,0,Kebbi,Argungu
NGA.22.4_1,2025,Sep-Dec,2.0,265744.0,0.3136945046005053,495.1029226347898,33.897119095136496,0.3787218196771602,0.3970359829334453,472.2757146052847,0,0,Kebbi,Augie
NGA.22.5_1,2025,Sep-Dec,2.0,347855.0,0.3787351559564141,743.6236706995513,33.726988606303166,0.3120256867419889,0.4795716200937849,655.8637598498747,0,0,Kebbi,Bagudo
NGA.22.6_1,2025,Sep-Dec,2.0,149388.0,0.300050082380523,570.3222291824933,34.36009337662307,0.6803370874513611,0.3815170136603365,537.7111028557923,0,0,Kebbi,Birnin Kebbi
NGA.22.7_1,2025,Sep-Dec,2.0,272324.0,0.2997454707049094,579.2593357568319,34.7115354886356,0.3160086811735308,0.3594489145407982,537.395639369577,1,6,Kebbi,Bunza
NGA.22.8_1,2025,Sep-Dec,2.0,305641.0,0.3207199453677949,628.8965329797797,34.17093653063581,0.3245945048323487,0.3782579478599179,572.4019072532797,0,0,Kebbi,Dandi
NGA.22.9_1,2025,Sep-Dec,2.0,223642.0,0.3261780509119374,638.5356723525147,33.35028102732878,0.3187353357118083,0.4179131348667211,568.3684973421921,0,0,Kebbi,Danko Wasagu
NGA.23.10_1,2025,Sep-Dec,2.0,213300.0,0.5739161331948733,853.6526418612385,28.958541456473966,0.3510758004996119,0.6501449301294423,627.3273476353072,0,0,Kogi,Kabba/Bunu
NGA.23.11_1,2025,Sep-Dec,2.0,169810.0,0.4751447882822775,766.5789285025221,28.53486699473544,0.3517845129694076,0.5170155651598599,580.0615027859449,0,0,Kogi,Kogi
NGA.23.12_1,2025,Sep-Dec,2.0,290010.0,0.4949174543728077,764.7614237717768,30.695112154581427,0.4299958384833023,0.5742021735308572,566.4505597176923,0,0,Kogi,Lokoja
